order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,13,FP,,Food Provision,Food Provision,"This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1,,"FP(layers, scores)"
1.1,1.1,1,FIS,FP,Fisheries,Fisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,FIS(layers),
1.3,1.2,2,MAR,FP,Mariculture,Mariculture,This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.,0.5,MAR(layers),
2,2,3,AO,,Artisanal Fishing Opportunity,Artisanal Fishing\n Opportunities,"This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",1,AO(layers),
3,3,4,NP,,Natural Products,Natural Products,This goal model calculates overall status by weighting the status of sustainable harvest of each product by its proportional value relative to other harvested products.,1,"NP(scores, layers)",
4,4,5,CS,,Carbon Storage,Carbon Storage,This goal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.,1,CS(layers),
5,5,6,CP,,Coastal Protection,Coastal\nProtection,This goal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.,1,CP(layers),
6,6,7,TR,,Tourism & Recreation,Tourism & \nRecreation,This goal captures the value people have for experiencing and taking pleasure in coastal areas.,1,TR(layers),
7.2,7,14,SP,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,,SP(scores)
7.1,7.1,8,ICO,SP,Iconic Species,Iconic\nSpecies,This subgoal captures the species that are important to a region because they are relevant to local cultural identity.,0.5,ICO(layers),
7.3,7.2,9,LSP,SP,Lasting Special Places,Lasting Special\nPlaces,"This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,LSP(layers),
8,8,10,CW,,Clean Waters,Clean Waters,This goal captures the degree to which waters are polluted.,1,CW(layers),
9.2,9,15,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
9.1,9.1,11,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
9.3,9.2,12,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
