layer,category,subcategory
cc_sst,ecological,climate_change
cc_chl,ecological,climate_change
fp_coral,ecological,fishing_pressure
ss_wgi,social,social
ss_spi,social,social
po_ammonia,ecological,pollution
po_bod,ecological,pollution
po_cadmium,ecological,pollution
po_chlorin,ecological,pollution
po_cod,ecological,pollution
po_coliform,ecological,pollution
po_crude_oil,ecological,pollution
po_detergent,ecological,pollution
po_fosfat,ecological,pollution
po_plumbum,ecological,pollution
po_sulfat,ecological,pollution
po_sulfida,ecological,pollution
po_tds,ecological,pollution
po_tss,ecological,pollution
po_turbidity,ecological,pollution
hd_mangrove,ecological,habitat_destruction
hd_coral,ecological,habitat_destruction
hd_seagrass,ecological,habitat_destruction
