rgn_id,year,km2
1,2006,NA
1,2007,NA
1,2008,0.0661
1,2009,2e-4
1,2010,0.0969
1,2011,0.0454
1,2012,0.0719
1,2013,0.0311
1,2014,NA
1,2015,0.0189
2,2006,NA
2,2007,NA
2,2008,NA
2,2009,NA
2,2010,NA
2,2011,NA
2,2012,NA
2,2013,NA
2,2014,NA
2,2015,NA
3,2006,NA
3,2007,NA
3,2008,NA
3,2009,0.0017
3,2010,1e-4
3,2011,3e-4
3,2012,3e-4
3,2013,NA
3,2014,3e-4
3,2015,0.0484
4,2006,NA
4,2007,NA
4,2008,NA
4,2009,NA
4,2010,NA
4,2011,NA
4,2012,NA
4,2013,NA
4,2014,NA
4,2015,NA
5,2006,4e-4
5,2007,2.9259
5,2008,3e-4
5,2009,0.0497
5,2010,NA
5,2011,NA
5,2012,0.001
5,2013,NA
5,2014,0.0014
5,2015,NA
7,2006,0.0127
7,2007,0.0017
7,2008,0.0097
7,2009,NA
7,2010,NA
7,2011,NA
7,2012,NA
7,2013,NA
7,2014,NA
7,2015,NA
8,2006,1.0671
8,2007,0.3877
8,2008,2.6811
8,2009,2.3834
8,2010,2.869
8,2011,3.8146
8,2012,4.0943
8,2013,4.4326
8,2014,3.1205
8,2015,3.89
9,2006,3.6998
9,2007,0.8397
9,2008,4.5398
9,2009,4.862
9,2010,4.453
9,2011,3.9358
9,2012,3.8404
9,2013,5.5053
9,2014,1.4517
9,2015,1.3747
