targets,layer,filename,fld_value,units
FIS,fis_catch,fis_catch_bali2016.csv,ton,ton
FIS,fis_effort,fis_effort_bali2016.csv,vessel,vessel
FIS,fis_msy,fis_msy_bali2016.csv,msy,msy
MAR,mar_production,mar_mariculture_production_bali2016.csv,ton,ton
MAR,mar_extent,mar_mariculture_area_extent_bali2016.csv,km2,km2
AO,ao_banyar,ao_Banyar_bali2016.csv,catch,ton
AO,ao_banyar_msy,ao_Banyar_msy_bali2016.csv,msy,msy
AO,ao_gulamah,ao_Gulamah_Tigawaja_bali2016.csv,catch,ton
AO,ao_gulamah_msy,ao_Gulamah_Tigawaja_msy_bali2016.csv,msy,msy
AO,ao_terbang,ao_Ikan_terbang_bali2016.csv,catch,ton
AO,ao_terbang_msy,ao_Ikan_terbang_msy_bali2016.csv,msy,msy
AO,ao_kakap,ao_Kakap_merah_Bambangan_bali2016.csv,catch,ton
AO,ao_kakap_msy,ao_Kakap_merah_Bambangan_msy_bali2016.csv,msy,msy
AO,ao_kembung,ao_Kembung_bali2016.csv,catch,ton
AO,ao_kembung_msy,ao_Kembung_msy_bali2016.csv,msy,msy
AO,ao_kerapu,ao_Kerapu_bali2016.csv,catch,ton
AO,ao_kerapu_msy,ao_Kerapu_msy_bali2016.csv,msy,msy
AO,ao_kuniran,ao_Kuniran_bali2016.csv,catch,ton
AO,ao_kuniran_msy,ao_Kuniran_msy_bali2016.csv,msy,msy
AO,ao_kurisi,ao_Kurisi_bali2016.csv,catch,ton
AO,ao_kurisi_msy,ao_Kurisi_msy_bali2016.csv,msy,msy
AO,ao_kuwe,ao_Kuwe_bali2016.csv,catch,ton
AO,ao_kuwe_msy,ao_Kuwe_msy_bali2016.csv,msy,msy
AO,ao_layang,ao_Layang_bali2016.csv,catch,ton
AO,ao_layang_msy,ao_Layang_msy_bali2016.csv,msy,msy
AO,ao_layur,ao_Layur_bali2016.csv,catch,ton
AO,ao_layur_msy,ao_Layur_msy_bali2016.csv,msy,msy
AO,ao_manyung,ao_Manyung_bali2016.csv,catch,ton
AO,ao_manyung_msy,ao_Manyung_msy_bali2016.csv,msy,msy
AO,ao_swanggi,ao_Swanggi_Mata_besar_bali2016.csv,catch,ton
AO,ao_swanggi_msy,ao_Swanggi_Mata_besar_msy_bali2016.csv,msy,msy
CS CP HAB,cs_mangrove_extent,cs_mangrove_extent_bali2016.csv,km2,km2
CS CP HAB,cs_seagrass_extent,cs_seagrass_extent_bali2016.csv,km2,km2
CS CP HAB,cs_mangrove_health,cs_mangrove_health_bali2016.csv,health,ndvi
CS CP HAB,cs_seagrass_health,cs_seagrass_health_bali2016.csv,health,percentage
CP HAB,cp_coral_extent,cp_coral_extent_bali2016.csv,km2,km2
CP HAB,cp_coral_health,cp_coral_health_bali2016.csv,health,percentage
TR,tr_nb_tourist,tr_tourist_bali2016.csv,nb_tourist,person
TR,tr_ittc,tr_ittc_bali2016.csv,index,index
SPP,spp_status,spp_status_bali2016.csv,score,status_score
SPP,spp_trend,spp_trend_bali2016.csv,score,trend_score
ICO,ico_status,ico_status_bali2016.csv,score,status_score
ICO,ico_trend,ico_trend_bali2016.csv,score,trend_score
LSP,lsp_status,lsp_status_bali2016.csv,score,status_score
LSP,lsp_trend,lsp_trend_bali2016.csv,score,trend_score
spatial,rgn_area,rgn_area.csv,area_km2,km2
spatial,rgn_georegions,rgn_georegions_gl2016.csv,georgn_id,UN regions
spatial,rgn_global,rgn_global.csv,label,label
spatial,rgn_labels,rgn_labels.csv,label,label
CP,element_wts_cp_km2_x_protection,element_wts_cp_km2_x_protection.csv,extent_rank,km2
CS,element_wts_cs_km2_x_storage,element_wts_cs_km2_x_storage.csv,extent_rank,km2
HAB,element_wts_hab_pres_abs,element_wts_hab_pres_abs.csv,boolean,km2
CP pressureCS pressureHAB pressureICO pressureSPP pressure,cc_acid,cc_acid_gl2016.csv,pressure_score,scaled 0-1
CP pressureCS pressureHAB pressureICO pressureSPP pressure,cc_sst,cc_sst_gl2016.csv,pressure_score,scaled 0-1
AO pressureCP pressureCS pressureHAB pressureTR pressureSPP pressureLSP pressure,cc_slr,cc_slr_gl2016.csv,pressure_score,scaled 0-1
CP pressureHAB pressureTR pressure,cc_uv,cc_uv_gl2016.csv,pressure_score,scaled 0-1
MAR pressureFIS pressureSPP pressure,po_chemicals,po_chemicals_gl2016.csv,pressure_score,scaled 0-1
FIS pressureAO pressureSPP pressure,po_nutrients,po_nutrients_gl2016.csv,pressure_score,scaled 0-1
